"annee" "nom_region" "code_region" "domaine_de_tension" "prod_photovoltaïque_enedis_(mwh)" "prod_eolien_enedis_(mwh)" "prod_hydraulique_enedis_(mwh)" "prod_bio_energie_enedis_(mwh)" "prod_cogeneration_enedis_(mwh)" "prod_autres_filieres_enedis_(mwh)"
"2012" "Bretagne" "53" "BT <= 36 kVA" 63524.4108291197 38.3532537363541 NA NA NA NA
"2012" "Centre-Val De Loire" "24" "BT > 36 kVA" 41862.432379356 207.206 411.038004336347 8507.12598830975 825.219 NA
"2013" "Bretagne" "53" "HTA" 18657.4941686375 1404134.77731672 17197.5020649138 189321.821288374 222551.598921851 360.629
"2013" "Hauts-De-France" "32" "BT <= 36 kVA" 41861.6809042427 NA NA NA NA NA
"2013" "Provence-Alpes-Côte D'azur" "93" "HTA" 443742.873746088 65425.709 373687.478209909 388966.554532675 206493.607601809 223.028
"2014" "Auvergne-Rhône-Alpes" "84" "BT > 36 kVA" 209901.910670524 NA 18636.8490417206 9152.17667229848 1558.984 NA
"2014" "Bourgogne-Franche-Comté" "27" "HTA" 27436.7444079596 375402.568252921 251511.018966829 126469.386076895 167336.548330323 1403.925
"2014" "Provence-Alpes-Côte D'azur" "93" "HTA" 627022.873336577 57732.7985687416 418926.057577389 349555.293141896 240207.519606719 3820.895
"2014" "Pays De La Loire" "52" "BT <= 36 kVA" 165608.560901827 36.0280276606556 246.92108215343 NA NA NA
"2014" "Île-De-France" "11" "BT > 36 kVA" 12123.6052395324 29.191 NA NA 1383.371 NA
"2014" "Centre-Val De Loire" "24" "HTA" 23292.736 1203228.307 46536.4002775598 289851.937422669 194270.392 NA
"2014" "Normandie" "28" "BT > 36 kVA" 31402.9974180993 293.069 2562.30542387768 20291.9867959514 NA NA
"2015" "Bourgogne-Franche-Comté" "27" "BT > 36 kVA" 48072.1295909745 NA 13187.4369925021 17835.8046772427 NA NA
"2015" "Île-De-France" "11" "HTA" 19613.649 52585.8227751888 55099.717 828528.778709672 1014946.05559121 87.773
"2015" "Centre-Val De Loire" "24" "BT > 36 kVA" 73323.4885293056 336.775 497.556310532397 11639.658 835.068 NA
"2015" "Auvergne-Rhône-Alpes" "84" "HTA" 286962.723791091 750364.0195 1299149.15580872 621685.959016156 402790.462833333 487.414
"2015" "Auvergne-Rhône-Alpes" "84" "BT <= 36 kVA" 230266.8425124 NA NA NA NA NA
"2017" "Bourgogne-Franche-Comté" "27" "HTA" 42381.156 1022646.004 190150.796 142437.049 223412.79 1723.28
"2017" "Provence-Alpes-Côte D'azur" "93" "HTA" 957663.938 66969.188 365317.1 447610.102 349160.768 1348.971
"2017" "Normandie" "28" "BT > 36 kVA" 41364.093 281.769 2321.787 31989.681 NA NA
"2017" "Centre-Val De Loire" "24" "BT > 36 kVA" 99229.552 260.934 316.37 11636.429 848.637 NA
"2019" "Centre-Val De Loire" "24" "HTA" 56968.77475 1850784.483 25470.38767 370076.9145 221807.7657 NA
"2019" "Occitanie" "76" "BT <= 36 kVA" NA 33.47451861 984.6704112 NA NA NA
"2019" "Occitanie" "76" "BT > 36 kVA" 724916.6026 NA 28289.78559 12120.52383 NA NA
"2019" "Auvergne-Rhône-Alpes" "84" "BT <= 36 kVA" NA 26.15881689 2203.133644 NA NA NA
"2018" "Grand-Est" "44" "HTA" 70998.4783333333 5790768.80383333 256680.164761218 415613.437666667 353178.4365 1465.64216666667
"2018" "Île-De-France" "11" "BT > 36 kVA" 18475.5221293029 60.157 NA NA 615.691273200566 NA
"2018" "Auvergne-Rhône-Alpes" "84" "HTA" 364670.632833333 980367.037833333 1615699.524 681450.307632 505828.189 464.585833333333
"2016" "Nouvelle-Aquitaine" "75" "BT <= 36 kVA" 198609.615833543 21.3187617782922 701.976657358662 NA NA NA
"2016" "Pays De La Loire" "52" "BT <= 36 kVA" 175766.575299811 23.6688479995606 367.490648588351 NA NA NA
"2016" "Grand-Est" "44" "BT > 36 kVA" 124257.715596454 NA 20481.5254751505 48343.531 1112.24 NA
"2011" "Occitanie" "76" "BT > 36 kVA" 134682.017252621 NA 10709.4409245889 626.319 NA NA
"2011" "Nouvelle-Aquitaine" "75" "BT > 36 kVA" 87482.7892962537 NA 3963.37858195817 432.735503679641 NA NA
"2011" "Occitanie" "76" "BT <= 36 kVA" 145934.350950972 NA NA NA NA NA
"2011" "Nouvelle-Aquitaine" "75" "BT <= 36 kVA" 95575.9324743203 NA NA NA NA NA
"2012" "Bourgogne-Franche-Comté" "27" "HTA" 8667.55246245589 270915.428052084 245698.958343754 106869.924055518 262400.638199858 523.242996262687
"2012" "Occitanie" "76" "BT <= 36 kVA" 175510.291144438 89.2245138766048 NA NA NA NA
"2012" "Provence-Alpes-Côte D'azur" "93" "BT <= 36 kVA" 105870.759481143 NA NA NA NA NA
"2012" "Grand-Est" "44" "BT > 36 kVA" 105956.903243232 NA 14828.1225665501 8335.82105800698 1541.45 NA
"2012" "Pays De La Loire" "52" "HTA" 27349.4609845733 884645.704887065 14095.2249708434 232255.840271003 404722.292125 15863.767
"2013" "Pays De La Loire" "52" "BT <= 36 kVA" 141216.214462661 41.287804784686 NA NA NA NA
"2013" "Provence-Alpes-Côte D'azur" "93" "BT > 36 kVA" 123094.273890993 NA 8062.61833058744 533.371693742963 NA NA
"2014" "Auvergne-Rhône-Alpes" "84" "BT <= 36 kVA" 202155.108755309 NA NA NA NA NA
"2014" "Normandie" "28" "HTA" 32419.753 1045249.9051749 134732.082111456 97122.4687783422 369759.533 738.148
"2014" "Bretagne" "53" "BT > 36 kVA" 69844.2019120003 NA 1181.57 7229.12534852313 NA NA
"2015" "Île-De-France" "11" "BT > 36 kVA" 13925.9662086952 66.775 NA NA 1305.527 NA
"2015" "Occitanie" "76" "BT <= 36 kVA" 255296.784765035 NA NA NA NA NA
"2015" "Occitanie" "76" "HTA" 811992.560097995 1735181.8805 1154205.15036594 408402.865685644 178434.6975 1057.17252854221
"2015" "Centre-Val De Loire" "24" "BT <= 36 kVA" 46676.9259979828 NA NA NA NA NA
"2019" "Nouvelle-Aquitaine" "75" "BT > 36 kVA" 494001.9897 NA 10508.09421 12888.722 NA NA
"2019" "Grand-Est" "44" "BT > 36 kVA" 149277.6784 NA 19677.22924 41967.58267 808.4211667 NA
"2019" "Normandie" "28" "HTA" 52508.16891 1763731.629 114398.6689 128359.452 449541.746 287.5043333
"2019" "Bretagne" "53" "BT > 36 kVA" 109063.8167 NA 969.9893333 26704.74467 0.096166667 NA
"2019" "Hauts-De-France" "32" "BT <= 36 kVA" NA 35.99885891 NA NA NA NA
"2019" "Bourgogne-Franche-Comté" "27" "BT > 36 kVA" 69048.32004 NA 15413.32952 31030.57233 NA NA
