"annee","nom_com","code_commune","nom_departement","code_departement","nom_region","code_region","domaine_de_tension","prod_photovoltaïque_enedis_(mwh)","prod_eolien_enedis_(mwh)","prod_hydraulique_enedis_(mwh)","prod_bio_energie_enedis_(mwh)","prod_cogeneration_enedis_(mwh)","prod_autres_filieres_enedis_(mwh)","nom_commune"
"2016","Aix-En-Provence","13001","Bouches-Du-Rhône","13","Provence-Alpes-Côte D'azur","93","HTA",4231.521,NA,1098.921,16787.744,22322.684,NA,"Aix-En-Provence (13)"
"2020","Aix-En-Provence","13001","Bouches-Du-Rhône","13","Provence-Alpes-Côte D'azur","93","HTA",7808.96533333333,NA,1002.60416666667,22247.9658333333,22586.4601666667,NA,"Aix-En-Provence (13)"
"2020","Aix-En-Provence","13001","Bouches-Du-Rhône","13","Provence-Alpes-Côte D'azur","93","BT > 36 kVA",4861.09333333333,NA,NA,NA,NA,NA,"Aix-En-Provence (13)"
"2020","Aix-En-Provence","13001","Bouches-Du-Rhône","13","Provence-Alpes-Côte D'azur","93","BT <= 36 kVA",1851.16889524693,NA,NA,NA,NA,NA,"Aix-En-Provence (13)"
"2011","Amiens","80021","Somme","80","Hauts-De-France","32","HTA",NA,NA,NA,16657.769,97202.709,NA,"Amiens (80)"
"2011","Amiens","80021","Somme","80","Hauts-De-France","32","BT > 36 kVA",147.345115,NA,NA,NA,NA,NA,"Amiens (80)"
"2013","Amiens","80021","Somme","80","Hauts-De-France","32","BT > 36 kVA",278.258582317196,NA,NA,NA,NA,NA,"Amiens (80)"
"2012","Amiens","80021","Somme","80","Hauts-De-France","32","HTA",NA,NA,NA,18391.882,105367.848,NA,"Amiens (80)"
"2012","Amiens","80021","Somme","80","Hauts-De-France","32","BT <= 36 kVA",107.18023058895,NA,NA,NA,NA,NA,"Amiens (80)"
"2012","Amiens","80021","Somme","80","Hauts-De-France","32","BT > 36 kVA",131.456,NA,NA,NA,NA,NA,"Amiens (80)"
"2016","Amiens","80021","Somme","80","Hauts-De-France","32","BT > 36 kVA",186.301747248129,NA,NA,NA,NA,NA,"Amiens (80)"
"2016","Amiens","80021","Somme","80","Hauts-De-France","32","HTA",NA,8849.548,NA,19180.778,41816.363,NA,"Amiens (80)"
"2017","Amiens","80021","Somme","80","Hauts-De-France","32","BT <= 36 kVA",175.932,NA,NA,NA,NA,NA,"Amiens (80)"
"2011","Amiens","80021","Somme","80","Hauts-De-France","32","BT <= 36 kVA",87.2293971804293,NA,NA,NA,NA,NA,"Amiens (80)"
"2015","Amiens","80021","Somme","80","Hauts-De-France","32","HTA",NA,NA,NA,18884.114,49267.6,NA,"Amiens (80)"
"2015","Amiens","80021","Somme","80","Hauts-De-France","32","BT <= 36 kVA",195.894505090644,NA,NA,NA,NA,NA,"Amiens (80)"
"2018","Amiens","80021","Somme","80","Hauts-De-France","32","BT > 36 kVA",309.504872273702,NA,NA,NA,NA,NA,"Amiens (80)"
"2013","Amiens","80021","Somme","80","Hauts-De-France","32","BT <= 36 kVA",139.989147460063,NA,NA,NA,NA,NA,"Amiens (80)"
"2013","Amiens","80021","Somme","80","Hauts-De-France","32","HTA",NA,NA,NA,17748.326,105122.708824699,NA,"Amiens (80)"
"2014","Amiens","80021","Somme","80","Hauts-De-France","32","HTA",NA,NA,NA,18819.111,64544.273,NA,"Amiens (80)"
"2014","Amiens","80021","Somme","80","Hauts-De-France","32","BT <= 36 kVA",167.976873519625,NA,NA,NA,NA,NA,"Amiens (80)"
"2014","Amiens","80021","Somme","80","Hauts-De-France","32","BT > 36 kVA",285.001339343789,NA,NA,NA,NA,NA,"Amiens (80)"
"2017","Amiens","80021","Somme","80","Hauts-De-France","32","BT > 36 kVA",314.966,NA,NA,NA,NA,NA,"Amiens (80)"
"2017","Amiens","80021","Somme","80","Hauts-De-France","32","HTA",NA,23096.663,NA,18580.968,45436.991,NA,"Amiens (80)"
"2016","Amiens","80021","Somme","80","Hauts-De-France","32","BT <= 36 kVA",216.618014202552,NA,NA,NA,NA,NA,"Amiens (80)"
"2015","Amiens","80021","Somme","80","Hauts-De-France","32","BT > 36 kVA",283.95734129915,NA,NA,NA,NA,NA,"Amiens (80)"
"2018","Amiens","80021","Somme","80","Hauts-De-France","32","HTA",NA,30049.7535,NA,18680.8625,47124.868,NA,"Amiens (80)"
"2019","Amiens","80021","Somme","80","Hauts-De-France","32","HTA",NA,31053.3051666667,NA,18101.6876666667,68347.1733333333,NA,"Amiens (80)"
"2018","Amiens","80021","Somme","80","Hauts-De-France","32","BT <= 36 kVA",237.658632958309,NA,NA,NA,NA,NA,"Amiens (80)"
"2019","Amiens","80021","Somme","80","Hauts-De-France","32","BT > 36 kVA",295.138603585777,NA,NA,NA,NA,NA,"Amiens (80)"
"2019","Amiens","80021","Somme","80","Hauts-De-France","32","BT <= 36 kVA",302.685060907965,NA,NA,NA,NA,NA,"Amiens (80)"
"2020","Amiens","80021","Somme","80","Hauts-De-France","32","BT > 36 kVA",291.993,NA,NA,NA,NA,NA,"Amiens (80)"
