"annee" "code_region" "nom_region" "code_categorie_consommation" "code_grand_secteur" "conso_totale_(mwh)" "conso_moyenne_(mwh)"
"2019" "32" "Hauts-De-France" "ENT" "INDUSTRIE" 26734.9502855201 222.791252379334
"2019" "32" "Hauts-De-France" "ENT" "INDUSTRIE" 7491.03957030687 624.253297525572
"2019" "32" "Hauts-De-France" "ENT" "INDUSTRIE" 421288.399950481 560.223936104364
"2019" "32" "Hauts-De-France" "ENT" "INDUSTRIE" 12370.2764439977 441.79558728563
"2019" "32" "Hauts-De-France" "ENT" "TERTIAIRE" 24086.327253449 512.475047945723
"2019" "32" "Hauts-De-France" "ENT" "TERTIAIRE" 15892.209357239 180.593288150444
"2019" "32" "Hauts-De-France" "ENT" "TERTIAIRE" 18510.6943227503 115.69183951719
"2019" "32" "Hauts-De-France" "ENT" "TERTIAIRE" 797019.903109669 122.017743893091
"2019" "32" "Hauts-De-France" "ENT" "TERTIAIRE" 22544.6733046302 536.777935824528
"2019" "32" "Hauts-De-France" "ENT" "TERTIAIRE" 16030.2769017584 616.549111606093
"2019" "32" "Hauts-De-France" "ENT" "TERTIAIRE" 110043.151416199 269.054159941807
"2019" "28" "Normandie" "ENT" "INCONNU" 257540.85127932 2799.35707912305
"2019" "28" "Normandie" "ENT" "INDUSTRIE" 379267.721325303 3830.98708409397
"2019" "28" "Normandie" "ENT" "INDUSTRIE" 18801.4238329822 53.1113667598368
"2019" "28" "Normandie" "ENT" "INDUSTRIE" 12722.2299251865 138.285107882462
"2019" "28" "Normandie" "ENT" "TERTIAIRE" 252341.062706654 214.02973936103
"2019" "28" "Normandie" "ENT" "TERTIAIRE" 1858.46464508106 309.74410751351
"2019" "28" "Normandie" "ENT" "TERTIAIRE" 11010.2173042854 333.642948614709
"2019" "28" "Normandie" "ENT" "TERTIAIRE" 21585.3835665666 744.323571260919
"2019" "75" "Nouvelle-Aquitaine" "ENT" "AGRICULTURE" 41125.9148133295 451.933129816807
"2019" "75" "Nouvelle-Aquitaine" "ENT" "INDUSTRIE" 140869.857946977 602.007939944348
"2019" "75" "Nouvelle-Aquitaine" "ENT" "INDUSTRIE" 1165769.00067289 570.337084477932
"2019" "75" "Nouvelle-Aquitaine" "ENT" "TERTIAIRE" 3281.4862257393 252.422017364562
"2019" "75" "Nouvelle-Aquitaine" "ENT" "TERTIAIRE" 7332.72479774544 78.8465032015639
"2019" "75" "Nouvelle-Aquitaine" "ENT" "TERTIAIRE" 274051.798436092 123.335642860527
"2019" "75" "Nouvelle-Aquitaine" "ENT" "TERTIAIRE" 1153.2236627341 115.32236627341
"2019" "75" "Nouvelle-Aquitaine" "ENT" "TERTIAIRE" 551791.280771527 802.022210423732
"2019" "75" "Nouvelle-Aquitaine" "ENT" "TERTIAIRE" 73161.4974180957 146.910637385734
"2019" "76" "Occitanie" "ENT" "INDUSTRIE" 72113.2650844785 483.981644862272
"2019" "76" "Occitanie" "ENT" "TERTIAIRE" 200529.689308023 401.863104825697
"2019" "76" "Occitanie" "ENT" "TERTIAIRE" 22996.2271915245 433.891079085368
"2019" "76" "Occitanie" "ENT" "TERTIAIRE" 33.3527097358823 16.6763548679411
"2019" "52" "Pays De La Loire" "ENT" "INDUSTRIE" 70118.7839376835 78.1703276897252
"2019" "52" "Pays De La Loire" "ENT" "TERTIAIRE" 226892.94448732 321.833963811802
"2019" "52" "Pays De La Loire" "ENT" "TERTIAIRE" 131943.704570888 379.148576353126
"2019" "52" "Pays De La Loire" "ENT" "TERTIAIRE" 47734.4496647729 568.267257913963
"2019" "52" "Pays De La Loire" "ENT" "TERTIAIRE" 1837.8338010378 167.075800094346
"2019" "52" "Pays De La Loire" "ENT" "TERTIAIRE" 223053.37674916 209.047213448135
"2019" "93" "Provence-Alpes-Côte D'azur" "ENT" "INDUSTRIE" 501579.225734923 332.171672672134
"2019" "93" "Provence-Alpes-Côte D'azur" "ENT" "INDUSTRIE" 7821.19967640963 102.910522058021
"2019" "93" "Provence-Alpes-Côte D'azur" "ENT" "TERTIAIRE" 69044.9618820962 428.850694919852
"2019" "93" "Provence-Alpes-Côte D'azur" "ENT" "TERTIAIRE" 205428.53545771 179.257011743202
"2019" "93" "Provence-Alpes-Côte D'azur" "ENT" "TERTIAIRE" 73762.2588501769 280.464862548201
"2019" "93" "Provence-Alpes-Côte D'azur" "ENT" "TERTIAIRE" 19628.7644746382 141.214132911066
"2019" "93" "Provence-Alpes-Côte D'azur" "ENT" "TERTIAIRE" 68112.7202671674 138.159675998311
"2019" "11" "Île-De-France" "ENT" "INDUSTRIE" 52357.3103541251 534.258268919644
"2016" "32" "Hauts-De-France" "RES" "RESIDENTIEL" 12361595.387 4.75578589696126
"2011" "75" "Nouvelle-Aquitaine" "RES" "RESIDENTIEL" 13817550.544 4.8404998662359
"2011" "11" "Île-De-France" "RES" "RESIDENTIEL" 22216994.915 4.10908391561463
"2014" "32" "Hauts-De-France" "RES" "RESIDENTIEL" 11642033.86 4.54038003824162
"2012" "53" "Bretagne" "RES" "RESIDENTIEL" 8726145.31 5.013069790441
"2011" "24" "Centre-Val De Loire" "RES" "RESIDENTIEL" 6347470.678 5.32065368545858
"2015" "27" "Bourgogne-Franche-Comté" "RES" "RESIDENTIEL" 6691835.035 4.60238462994786
"2011" "28" "Normandie" "RES" "RESIDENTIEL" 8443398.209 5.17081515279989
"2011" "53" "Bretagne" "RES" "RESIDENTIEL" 8006308.468 4.65859529955091
"2011" "44" "Grand-Est" "PRO" "PETIT_PROFESSIONNEL" 2680560.865 9.12947817979915
"2016" "76" "Occitanie" "PRO" "PETIT_PROFESSIONNEL" 4172683.701 8.97874611061678
"2012" "93" "Provence-Alpes-Côte D'azur" "PRO" "PETIT_PROFESSIONNEL" 4066791.681 9.4151772954456
"2014" "44" "Grand-Est" "PRO" "PETIT_PROFESSIONNEL" 2565992.425 8.76677915559886
"2011" "53" "Bretagne" "PRO" "PETIT_PROFESSIONNEL" 2531220.401 10.4598045449002
"2011" "93" "Provence-Alpes-Côte D'azur" "ENT" "AGRICULTURE" 142371.042 103.467327006422
"2011" "11" "Île-De-France" "ENT" "AGRICULTURE" 69101.123 87.4697759748776
"2013" "76" "Occitanie" "ENT" "AGRICULTURE" 227729.748 74.0584547786023
"2015" "76" "Occitanie" "ENT" "AGRICULTURE" 243107.556 77.6205477577698
"2016" "76" "Occitanie" "ENT" "AGRICULTURE" 250455.09 78.8586556555797
"2011" "52" "Pays De La Loire" "ENT" "AGRICULTURE" 393854.398 140.76282988345
"2015" "44" "Grand-Est" "ENT" "AGRICULTURE" 154415.289 101.388896052091
"2012" "53" "Bretagne" "ENT" "AGRICULTURE" 647464.809 216.471015918914
"2016" "53" "Bretagne" "ENT" "AGRICULTURE" 699089.427 222.995032603362
"2016" "84" "Auvergne-Rhône-Alpes" "ENT" "AGRICULTURE" 223551.582 110.614340192445
"2013" "93" "Provence-Alpes-Côte D'azur" "ENT" "AGRICULTURE" 143344.49 102.024547860286
"2016" "11" "Île-De-France" "ENT" "AGRICULTURE" 59848.207 74.0695625772704
"2011" "53" "Bretagne" "ENT" "AGRICULTURE" 649409.106 220.662285576988
"2015" "24" "Centre-Val De Loire" "ENT" "AGRICULTURE" 430517.588 96.6586412045359
"2014" "27" "Bourgogne-Franche-Comté" "ENT" "INDUSTRIE" 3916412.739 748.836087716585
"2011" "44" "Grand-Est" "ENT" "INDUSTRIE" 6617962.21 1089.01797105911
"2011" "93" "Provence-Alpes-Côte D'azur" "ENT" "INDUSTRIE" 2350211.706 507.166962827121
"2013" "76" "Occitanie" "ENT" "INDUSTRIE" 3498538.985 434.0080616175
"2013" "11" "Île-De-France" "ENT" "INDUSTRIE" 4867012.779 432.239145519053
"2013" "28" "Normandie" "ENT" "INDUSTRIE" 4737032.284 1027.55581006451
"2012" "53" "Bretagne" "ENT" "INDUSTRIE" 4020574.921 946.240273282102
"2015" "32" "Hauts-De-France" "ENT" "INDUSTRIE" 7140447.9 1110.66229589001
"2014" "24" "Centre-Val De Loire" "ENT" "INDUSTRIE" 2932490.52 771.50500383944
"2013" "52" "Pays De La Loire" "ENT" "INDUSTRIE" 5002655.145 807.270476912096
"2013" "44" "Grand-Est" "ENT" "INDUSTRIE" 6492004.24 999.69267624846
"2013" "53" "Bretagne" "ENT" "INDUSTRIE" 4043011.551 911.409276538118
"2016" "11" "Île-De-France" "ENT" "INDUSTRIE" 4705969.909 395.992082543582
"2015" "24" "Centre-Val De Loire" "ENT" "INDUSTRIE" 2948319.507 771.609397160047
"2016" "27" "Bourgogne-Franche-Comté" "ENT" "TERTIAIRE" 3594887.849 237.223693338437
"2016" "93" "Provence-Alpes-Côte D'azur" "ENT" "TERTIAIRE" 8323667.534 240.902626009131
"2014" "84" "Auvergne-Rhône-Alpes" "ENT" "TERTIAIRE" 11019086.082 235.692292987947
"2016" "84" "Auvergne-Rhône-Alpes" "ENT" "TERTIAIRE" 11568469.827 235.663179678246
"2013" "52" "Pays De La Loire" "ENT" "TERTIAIRE" 4859569.917 254.961695522902
"2012" "84" "Auvergne-Rhône-Alpes" "ENT" "TERTIAIRE" 11296441.029 250.39768206353
"2015" "28" "Normandie" "ENT" "INCONNU" 6682.53 30.1014858115704
"2015" "84" "Auvergne-Rhône-Alpes" "ENT" "INCONNU" 57499.694 107.879350297223
"2013" "76" "Occitanie" "ENT" "INCONNU" 23512.061 43.4603710195065
"2012" "75" "Nouvelle-Aquitaine" "ENT" "INCONNU" 43684.92 74.675077632388
"2016" "52" "Pays De La Loire" "ENT" "INCONNU" 5777.102 57.7710173952433
"2014" "44" "Grand-Est" "ENT" "INCONNU" 56045.974 144.821636970714
"2017" "84" "Auvergne-Rhône-Alpes" "RES" "RESIDENTIEL" 18784801.133 4.662971
"2017" "28" "Normandie" "RES" "RESIDENTIEL" 8760795.836 5.107847
"2017" "28" "Normandie" "ENT" "AGRICULTURE" 125968.824 136.329004
"2017" "84" "Auvergne-Rhône-Alpes" "ENT" "INDUSTRIE" 10118774.627 654.767309
"2017" "11" "Île-De-France" "ENT" "INCONNU" 2907.026 67.604651
"2017" "27" "Bourgogne-Franche-Comté" "PRO" "PETIT_PROFESSIONNEL" 1966076.546 8.726057
"2017" "44" "Grand-Est" "PRO" "PETIT_PROFESSIONNEL" 2591210.057 8.872214
"2017" "28" "Normandie" "PRO" "PETIT_PROFESSIONNEL" 2322049.978 10.030757
"2017" "32" "Hauts-De-France" "PRO" "PETIT_PROFESSIONNEL" 3195796.256 10.344492
"2019" "75" "Nouvelle-Aquitaine" "ENT" "INDUSTRIE" 68998.6900292481 2090.8693948257
"2019" "75" "Nouvelle-Aquitaine" "ENT" "INDUSTRIE" 37893.4344344958 378.934344344958
"2019" "75" "Nouvelle-Aquitaine" "ENT" "TERTIAIRE" 141908.760916463 603.867067729629
"2019" "75" "Nouvelle-Aquitaine" "ENT" "TERTIAIRE" 528829.2717281 233.995252977035
"2019" "75" "Nouvelle-Aquitaine" "ENT" "TERTIAIRE" 328966.960334502 151.807549762115
"2019" "75" "Nouvelle-Aquitaine" "ENT" "TERTIAIRE" 787.937694408209 56.2812638863007
"2019" "75" "Nouvelle-Aquitaine" "ENT" "TERTIAIRE" 1010812.48453749 136.283198670283
"2019" "75" "Nouvelle-Aquitaine" "ENT" "TERTIAIRE" 67363.0499243676 139.468012265771
"2019" "75" "Nouvelle-Aquitaine" "ENT" "TERTIAIRE" 11233.4426678873 97.6821101555421
"2019" "76" "Occitanie" "ENT" "INDUSTRIE" 100815.830328818 411.493185015584
"2019" "76" "Occitanie" "ENT" "TERTIAIRE" 99005.013042398 383.74036062945
"2019" "76" "Occitanie" "ENT" "TERTIAIRE" 746.892712663008 124.482118777168
